lmax,repeat,stage,time_ms
1,18,2_convolution.src_gather_ms,0.01098797656595707
1,18,2_convolution.message_tp_ms,0.09361281991004944
1,18,2_convolution.aggregation_ms,0.034046126529574394
1,18,2_convolution.denominator_ms,0.008278992027044296
1,18,top_force_output_ms,2.7592862024903297
1,18,model_total_ms,4.967268090695143
1,19,edge_length_norm_ms,0.014869961887598038
1,19,radial_basis_ms,0.030208146199584007
1,19,cutoff_ms,0.052756164222955704
1,19,radial_combine_ms,0.007536029443144798
1,19,spherical_harmonics_ms,0.07110391743481159
1,19,0_convolution.weight_nn_ms,0.07691513746976852
1,19,0_convolution.src_gather_ms,0.011374009773135185
1,19,0_convolution.message_tp_ms,0.08150003850460052
1,19,0_convolution.aggregation_ms,0.035795848816633224
1,19,0_convolution.denominator_ms,0.008535105735063553
1,19,1_convolution.weight_nn_ms,0.07446296513080597
1,19,1_convolution.src_gather_ms,0.010761898010969162
1,19,1_convolution.message_tp_ms,0.1828798558562994
1,19,1_convolution.aggregation_ms,0.03519491292536259
1,19,1_convolution.denominator_ms,0.00864500179886818
1,19,2_convolution.weight_nn_ms,0.07242592982947826
1,19,2_convolution.src_gather_ms,0.010899035260081291
1,19,2_convolution.message_tp_ms,0.11750706471502781
1,19,2_convolution.aggregation_ms,0.03537419252097607
1,19,2_convolution.denominator_ms,0.008665025234222412
1,19,top_force_output_ms,2.8214920312166214
1,19,model_total_ms,5.091740051284432
2,0,edge_length_norm_ms,0.03140908665955067
2,0,radial_basis_ms,0.05272706039249897
2,0,cutoff_ms,0.0767118763178587
2,0,radial_combine_ms,0.008857809007167816
2,0,spherical_harmonics_ms,0.15878397971391678
2,0,0_convolution.weight_nn_ms,0.10353187099099159
2,0,0_convolution.src_gather_ms,0.016395002603530884
2,0,0_convolution.message_tp_ms,1.5168641693890095
2,0,0_convolution.aggregation_ms,0.052647897973656654
2,0,0_convolution.denominator_ms,0.010843155905604362
2,0,1_convolution.weight_nn_ms,0.09050010703504086
2,0,1_convolution.src_gather_ms,0.013247132301330566
2,0,1_convolution.message_tp_ms,4.842585884034634
2,0,1_convolution.aggregation_ms,0.04591280594468117
